,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species
5504,Scleroderma cepa,,2011-06-12,Charleville Winery,6,2011,12,Scleroderma,cepa
5505,Trametes versicolor,Turkeytail ,2011-06-12,Charleville Winery,6,2011,12,Trametes,versicolor
5506,Stereum ostrea,False turkeytail ,2011-06-12,Charleville Winery,6,2011,12,Stereum,ostrea
5507,Pycnoporus cinnabarinus,,2011-06-12,Charleville Winery,6,2011,12,Pycnoporus,cinnabarinus
5508,Polyporus badius,,2011-06-12,Charleville Winery,6,2011,12,Polyporus,badius
5509,Fuligo septica,Dog Vomit Slime Mold ,2011-06-12,Charleville Winery,6,2011,12,Fuligo,septica
5510,Inonotus obliquus,,2011-06-12,Charleville Winery,6,2011,12,Inonotus,obliquus
5511,Sarcoscypha occidentalis,Stalked Scarlet Cup ,2011-06-12,Charleville Winery,6,2011,12,Sarcoscypha,occidentalis
5512,Russula xerampelina,,2011-06-12,Charleville Winery,6,2011,12,Russula,xerampelina
5513,Sebacina pallida,,2011-06-25,Rock Bridge State Park,6,2011,25,Sebacina,pallida
5514,Laetiporus sulphureus,Chicken of the woods ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Laetiporus,sulphureus
5515,Lenzites betulinus,Gilled Polypore ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Lenzites,betulinus
5516,Nigroporus vinosus,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Nigroporus,vinosus
5517,Microporellus obovatus,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Microporellus,obovatus
5518,Polyporus badius,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Polyporus,badius
5519,Poronidulus conchifer,Little nest polypore ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Poronidulus,conchifer
5520,Trametes versicolor,Turkeytail ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Trametes,versicolor
5521,Ganoderma lipsiense,,2010-07-13,Babler State Park,7,2010,13,Ganoderma,lipsiense
5522,Cantharellus lateritius,Smooth Chanterelle ,2010-07-13,Babler State Park,7,2010,13,Cantharellus,lateritius
5523,Russula emetica,,2009-09-06,Rockwood Reservation,9,2009,6,Russula,emetica
5524,Galiella rufa,Hairy rubber cup ,2009-06-27,Ha Ha Tonka State Park,6,2009,27,Galiella,rufa
